date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-18,"+ 500,00 KZT",500.0,KZT,Replenishment,,Мирас М.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 500,00 KZT",500.0,KZT,Replenishment,,Султан Х.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 500,00 KZT",500.0,KZT,Replenishment,,Аружан Н.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"- 7 948,00 KZT",-7948.0,KZT,Purchases,Happy Cake,Happy Cake,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 9 000,00 KZT",9000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 500,00 KZT",500.0,KZT,Replenishment,,Амира Б.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 500,00 KZT",500.0,KZT,Replenishment,,Мерей Н.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"- 1 525,00 KZT",-1525.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 1 525,00 KZT",1525.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"- 1 000,00 KZT",-1000.0,KZT,Transfers,,Марал У.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-18,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 3 043,00 KZT",-3043.0,KZT,Transfers,,Дінмұхаммед С.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 3 000,00 KZT",-3000.0,KZT,Transfers,,Диас Н.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 3 000,00 KZT",3000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 1 410,00 KZT",-1410.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 470,00 KZT",470.0,KZT,Replenishment,,Айнур А.,Kaspi Bank,kaspi_ru_2.pdf
